REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,2M,0,14,28,16,8,5,2,2,42,4,2,1,5,5,0,2,2,4,14,22,6,34,0,12,0,8,117,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,3M,0,28,25,25,10,4,0,3,39,3,1,2,3,5,3,2,21,1,12,22,0,31,2,26,0,3,134,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,4M,0,30,21,15,7,11,0,0,46,0,0,1,5,4,3,3,37,1,1,22,1,20,1,24,0,3,130,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,5M,2,40,21,13,11,10,0,3,36,3,1,1,6,9,2,2,39,1,0,24,0,29,0,16,0,6,136,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,6M,3,26,24,15,14,9,0,1,32,1,3,0,5,4,3,0,26,1,3,28,0,26,0,21,0,4,124,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,7M,1,42,34,14,7,7,0,1,37,1,1,1,6,10,30,2,3,1,1,35,0,32,0,16,0,5,143,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,8M,2,25,18,22,5,12,0,0,42,0,0,2,3,6,16,0,2,0,1,23,0,36,1,25,2,9,126,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,ESCUELA BASICA ANGELINA SALAS OLIVARES,9M,0,31,26,20,6,10,0,3,27,3,2,0,5,1,35,0,3,0,2,22,1,34,1,13,0,4,123,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,10V,3,29,31,21,7,8,0,2,31,2,1,2,5,16,2,35,1,1,32,4,23,0,8,0,3,0,132,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DE ATACAMA,CHANARAL,LICEO FEDERICO VARELA,11V,1,38,32,19,4,8,0,1,31,1,1,3,6,52,2,2,1,3,16,3,29,0,10,0,7,0,134,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
