REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19 H,18-19 M,20-29 H,20-29 M,30-39 H,30-39 M,40-49 H,40-49 M,50-59 H,50-59 M,60-69 H,60-69 M,70-79 H,70-79 M,80+ H,80+ M,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,7M,3,28,17,60,11,25,1,1,23,2,4,0,4,4,2,1,57,1,5,25,0,36,1,19,0,11,169,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,8M,0,20,28,51,8,14,0,3,21,3,2,1,3,6,4,2,47,2,2,18,1,15,0,26,1,15,145,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO SANTA LUISA DE CONCEPCION,9M,2,25,36,47,6,23,2,0,16,2,3,2,5,9,22,5,25,0,8,23,0,20,1,25,0,9,157,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,50V,1,16,35,49,13,15,2,1,14,3,6,6,20,13,3,4,3,3,39,5,27,4,10,1,2,0,146,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,51V,5,21,39,49,6,21,1,0,14,1,4,7,12,13,7,4,5,2,41,6,34,1,14,2,4,0,156,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,52V,4,27,27,45,12,25,1,0,17,1,3,2,13,12,7,5,5,8,41,6,32,4,18,0,2,0,158,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,53V,5,12,48,62,9,26,0,2,26,2,3,7,13,14,10,9,16,11,35,20,21,5,17,0,9,0,190,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,54V,0,13,34,43,10,13,0,0,16,0,6,2,9,11,5,8,5,4,34,7,23,3,10,1,1,0,129,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,55V,1,23,37,36,10,14,3,1,20,4,4,6,11,8,5,5,4,6,37,4,32,4,16,2,1,0,145,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
DEL BIOBIO,ANDALIEN,COLEGIO TECNICO PROFESIONAL LOS ACACIOS,56V,4,26,42,41,10,13,1,3,17,4,5,4,14,11,3,10,6,6,32,9,35,2,11,1,8,0,157,174,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
