REGION,CIRCUNSCRIPCION ELECTORAL,LOCAL,MESA,EDUARDO ARTES,FRANCO ALDO PARISI,GABRIEL BORIC,JOSE ANTONIO KAST,MARCO ENRIQUEZ-OMINAMI,SEBASTIAN SICHEL,VOTOS EN BLANCO,VOTOS NULOS,YASNA PROVOSTE,NULO BLANCO,18-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,NUM VOTOS,NUM MESAS,P-VALOR,LOG P-VALOR,E_EDUARDO ARTES,E_FRANCO ALDO PARISI,E_GABRIEL BORIC,E_JOSE ANTONIO KAST,E_MARCO ENRIQUEZ-OMINAMI,E_NULO BLANCO,E_SEBASTIAN SICHEL,E_YASNA PROVOSTE
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,50M,1,7,44,27,10,19,1,0,14,1,4,13,8,6,41,33,12,6,123,237,0.93,-0.03151705144606486,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,51M,2,11,35,31,11,26,0,0,19,0,3,15,4,7,55,31,14,7,135,237,0.39,-0.4089353929735008,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,52M,1,7,41,26,9,8,0,2,16,2,3,13,8,17,28,26,14,1,110,237,0.28,-0.5528419686577808,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,53M,0,9,51,27,10,17,0,0,8,0,2,16,5,24,27,28,15,5,122,237,0.08,-1.0969100130080565,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,54M,3,6,51,24,14,24,0,1,13,1,3,13,7,28,33,34,13,5,136,237,0.21,-0.6777807052660807,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,55M,2,6,38,33,18,18,0,1,11,1,4,13,10,32,22,26,13,7,127,237,0.73,-0.1366771398795441,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,56M,3,8,48,28,12,24,0,2,20,2,4,18,9,16,47,36,11,4,145,237,0.49,-0.3098039199714863,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,57M,4,7,38,32,12,26,0,2,10,2,0,10,9,38,35,23,13,5,131,237,0.34,-0.46852108295774486,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,58M,3,6,35,44,16,26,0,2,17,2,2,13,5,32,34,35,15,11,149,237,0.4,-0.3979400086720376,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,59M,3,8,48,40,20,19,2,2,11,4,1,18,8,37,31,37,15,6,153,237,0.12,-0.9208187539523752,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 1,60M,3,11,39,27,11,22,0,0,22,0,2,8,14,27,27,27,24,7,135,237,0.09,-1.0457574905606752,-1,-1,-1,-1,-1,-1,-1,-1
METROPOLITANA DE SANTIAGO,ALAMEDA,ESCUELA BASICA PACTO ANDINO LOCAL: 2,61M,2,5,47,38,14,21,0,2,13,2,1,21,10,36,23,30,18,2,142,237,0.95,-0.022276394711152253,-1,-1,-1,-1,-1,-1,-1,-1
